Time(s),X,Y,
2.40253,0,0,
2.41092,0,0,
2.41922,0,0,
2.42756,0,0,
2.43591,0,0,
2.44423,0,0,
2.45256,0,0,
2.46095,0,0,
2.46922,0,0,
2.47758,0,0,
2.48589,0,0,
2.4943,0,0,
2.50256,0,0,
2.51095,0,0,
2.51923,0,0,
2.52762,0,0,
2.5359,0,0,
2.5443,0,0,
2.55257,0,0,
2.56092,0,0,
2.56924,0,0,
2.57763,0,0,
2.58591,0,0,
2.5943,0,0,
2.60257,0,0,
2.61096,0,0,
2.61924,4.93333,3.85833,
2.62763,4.94167,3.85,
2.63591,4.95,3.85,
2.6443,4.95833,3.84167,
2.65261,4.975,3.825,
2.66099,4.99167,3.81667,
2.66925,5,3.81667,
2.67765,5.025,3.80833,
2.68593,5.04167,3.80833,
2.69432,5.05,3.80833,
2.70257,5.05,3.80833,
2.71097,5.05,3.80833,
2.71926,5.05,3.80833,
2.72763,5.05,3.80833,
2.73592,5.05,3.80833,
2.7443,5.05,3.80833,
2.75258,5.05,3.80833,
2.76098,5.05,3.80833,
2.76925,5.05,3.80833,
2.77765,5.05,3.80833,
2.78593,5.05,3.80833,
2.79433,5.05833,3.8,
2.80261,5.075,3.78333,
2.811,5.08333,3.775,
2.81926,5.1,3.75833,
2.82766,5.10833,3.75,
2.83593,5.11667,3.725,
2.84434,5.125,3.70833,
2.8526,5.125,3.69167,
2.86095,5.125,3.68333,
2.86927,5.125,3.65833,
2.87762,5.125,3.63333,
2.88594,5.125,3.50833,
2.89434,5.14167,3.38333,
2.90264,5.16667,3.275,
2.91102,5.2,3.14167,
2.91934,5.225,3.075,
2.92769,5.275,2.99167,
2.93596,5.29167,2.94167,
2.94435,5.325,2.88333,
2.95262,5.39167,2.78333,
2.96101,5.44167,2.725,
2.96928,5.475,2.68333,
2.97767,5.50833,2.625,
2.98596,5.53333,2.575,
2.99437,5.55833,2.54167,
3.00263,5.575,2.525,
3.01102,5.59167,2.5,
3.0193,5.60833,2.48333,
3.02764,5.625,2.46667,
3.03598,5.63333,2.46667,
3.04436,5.65,2.45833,
3.05264,5.66667,2.45,
3.06103,5.68333,2.45,
3.0693,5.69167,2.44167,
3.07769,5.7,2.44167,
3.08598,5.71667,2.44167,
3.09432,5.725,2.44167,
3.10263,5.73333,2.44167,
3.11104,5.775,2.44167,
3.11934,5.85,2.44167,
3.12769,5.91667,2.44167,
3.13598,5.98333,2.44167,
3.14438,6.06667,2.45833,
3.15264,6.18333,2.48333,
3.16099,6.24167,2.48333,
3.16931,6.34167,2.50833,
3.17766,6.45833,2.53333,
3.18599,6.61667,2.55,
3.19433,6.875,2.6,
3.20265,7.04167,2.63333,
3.21099,7.225,2.66667,
3.21932,7.425,2.7,
3.22766,7.625,2.73333,
3.23599,7.84167,2.78333,
3.24433,7.94167,2.8,
3.25266,8.125,2.85,
3.261,8.29167,2.88333,
3.26935,8.45,2.91667,
3.27768,8.6,2.95,
3.28601,8.71667,2.975,
3.29433,8.79167,3,
3.30267,8.88333,3.025,
3.31104,8.925,3.03333,
3.31933,8.95,3.05,
3.32772,8.96667,3.05,
3.33601,8.975,3.05833,
3.34435,8.99167,3.075,
3.35267,9.01667,3.09167,
3.36102,9.03333,3.10833,
3.36933,9.05,3.125,
3.37766,9.06667,3.14167,
3.38598,9.075,3.15833,
3.39435,9.08333,3.16667,
3.40268,9.1,3.18333,
3.41103,9.10833,3.20833,
3.41934,9.11667,3.23333,
3.42768,9.11667,3.26667,
3.43601,9.11667,3.29167,
3.44434,9.11667,3.33333,
3.45269,9.11667,3.36667,
3.46095,9.11667,3.41667,
3.46928,9.11667,3.46667,
3.47762,9.11667,3.50833,
3.48597,9.09167,3.60833,
3.49431,9.09167,3.64167,
3.50265,9.08333,3.70833,
3.51097,9.075,3.76667,
3.51934,9.05,3.81667,
3.52765,9.04167,3.85833,
3.53603,9.03333,3.93333,
3.54436,9.00833,4,
3.55267,8.99167,4.08333,
3.56103,8.96667,4.15833,
3.56935,8.95,4.21667,
3.57774,8.93333,4.25833,
3.58602,8.91667,4.30833,
3.59445,8.89167,4.35833,
