Time(s),X,Y,
5.49465,3.64167,0,
5.503,3.64167,0,
5.51136,3.64167,0,
5.51968,3.64167,0,
5.52799,3.64167,0,
5.53641,3.64167,0,
5.54467,3.64167,0,
5.55301,3.64167,0,
5.56137,3.64167,0,
5.56968,3.64167,0,
5.57801,3.64167,0,
5.58665,3.64167,0,
5.59475,3.64167,0,
5.60308,3.64167,0,
5.61164,3.64167,0,
5.61974,3.64167,0,
5.62806,3.64167,0,
5.63642,3.64167,0,
5.64475,3.64167,0,
5.65309,3.64167,0,
5.66141,3.64167,0,
5.66976,3.64167,0,
5.67807,3.64167,0,
5.68642,3.64167,0,
5.69475,3.64167,0,
5.70309,3.64167,0,
5.71142,3.64167,0,
5.71975,3.64167,0,
5.72807,3.64167,0,
5.73747,3.64167,0,
5.74657,3.64167,0,
5.75311,3.64167,0,
5.76145,3.64167,0,
5.7698,3.64167,0,
5.77812,3.64167,0,
5.78647,3.64167,0,
5.79478,3.64167,0,
5.80493,3.64167,0,
5.81247,3.64167,0,
5.82043,3.64167,0,
5.82877,3.64167,0,
5.83715,3.64167,0,
5.8454,3.64167,0,
5.85373,3.64167,0,
5.86206,3.64167,0,
5.8704,3.64167,0,
5.87873,3.64167,0,
5.88712,3.64167,0,
5.89543,3.64167,0,
5.90378,3.64167,0,
5.91212,3.64167,0,
5.92049,3.64167,0,
5.92878,3.64167,0,
5.93713,3.64167,0,
5.94545,3.64167,0,
5.95379,3.64167,0,
5.96211,3.64167,0,
5.9705,3.64167,0,
5.97878,3.64167,0,
5.98717,3.64167,0,
5.99546,3.64167,0,
6.00383,3.64167,0,
6.01213,3.64167,0,
6.02046,3.64167,0,
6.02879,3.64167,0,
6.03717,3.64167,0,
6.04546,3.64167,0,
6.05384,3.64167,0,
6.06215,3.64167,0,
6.07051,3.64167,0,
6.0788,3.64167,0,
6.08717,3.64167,0,
6.09547,3.64167,0,
6.10384,3.64167,0,
6.11213,3.64167,0,
6.12049,3.64167,0,
6.12879,3.64167,0,
6.13718,3.64167,0,
6.14549,3.64167,0,
6.15385,3.64167,0,
6.16214,3.64167,0,
6.17052,3.64167,0,
6.17881,3.64167,0,
6.18715,3.64167,0,
6.19549,3.64167,0,
6.20387,3.64167,0,
6.21216,3.64167,0,
6.2205,3.64167,0,
6.22882,3.64167,0,
6.23718,3.64167,0,
6.24549,3.64167,0,
6.25383,3.64167,0,
6.26215,3.64167,0,
6.27053,3.64167,0,
6.27883,3.64167,0,
6.28716,3.64167,0,
6.29548,3.64167,0,
6.30387,3.64167,0,
6.31214,3.64167,0,
6.32053,3.64167,0,
6.32882,3.64167,0,
6.33721,3.64167,0,
6.34549,3.64167,0,
6.35388,3.64167,0,
6.36217,3.64167,0,
6.3705,3.64167,0,
6.3788,3.64167,0,
6.38711,3.64167,0,
6.39544,3.64167,0,
6.40378,3.64167,0,
6.41211,3.64167,0,
6.42051,3.64167,0,
6.4288,3.64167,0,
6.43721,3.64167,0,
6.44549,3.64167,0,
6.45389,3.64167,0,
6.46218,3.64167,0,
6.47055,3.64167,0,
6.47885,3.64167,0,
6.48722,3.64167,0,
6.49552,3.64167,0,
6.5039,3.64167,0,
6.51218,3.64167,0,
6.52052,3.64167,0,
6.52885,3.64167,0,
6.53723,3.64167,0,
6.54553,3.64167,0,
6.55391,3.64167,0,
