Time(s),Force_mag (N),Angle,
3.14438,1.18838,2.3198,
3.15264,1.46481,2.28572,
3.16099,1.49561,2.26337,
3.16931,1.71752,2.23107,
3.17766,1.97967,2.18835,
3.18599,2.18961,2.11795,
3.19433,2.63749,1.99068,
3.20265,2.82534,1.89437,
3.21099,3.03542,1.77419,
3.21932,3.19779,1.62842,
3.22766,3.27606,1.47243,
3.23599,3.31631,1.29703,
3.24433,3.20694,1.21813,
3.25266,3.18148,1.07297,
3.261,3.0167,0.954085,
3.26935,2.83221,0.850878,
3.27768,2.62968,0.762147,
3.28601,2.44153,0.700104,
3.29433,2.37503,0.658806,
3.30267,2.18514,0.613953,
3.31104,2.12547,0.596056,
3.31933,2.07392,0.580003,
3.32772,2.04101,0.574776,
3.33601,2.03705,0.56819,
3.34435,2.03033,0.555076,
3.35267,2.0098,0.539611,
3.36102,2.00674,0.526722,
3.36933,1.95954,0.51392,
3.37766,1.94717,0.501208,
3.38598,1.95319,0.490781,
3.39435,1.94828,0.484478,
3.40268,1.93971,0.471946,
3.41103,1.96158,0.457411,
3.41934,1.93705,0.442817,
3.42768,1.97688,0.42585,
3.43601,2.00841,0.412951,
3.44434,2.06395,0.391125,
3.45269,2.06743,0.373376,
3.46095,2.12123,0.346285,
3.46928,2.1806,0.318655,
3.47762,2.18276,0.295236,
3.48597,2.33642,0.24128,
3.49431,2.32453,0.221439,
3.50265,2.39348,0.182168,
3.51097,2.46364,0.147078,
3.51934,2.49994,0.117733,
3.52765,2.54134,0.0916345,
3.53603,2.609,0.0434509,
3.54436,2.63286,0,
3.55267,2.70217,-0.0558079,
3.56103,2.71703,-0.107538,
3.56935,2.76346,-0.148328,
3.57774,2.75545,-0.178318,
3.58602,2.78555,-0.214305,
3.59445,2.80491,-0.252011,
3.60272,2.89698,-0.329185,
3.61108,2.88216,-0.376106,
3.61935,2.93117,-0.418224,
3.62776,2.9804,-0.474546,
3.63603,3.23652,-0.652262,
3.64446,3.1883,-0.803414,
3.65273,3.34905,-1.02813,
3.66109,3.28773,-1.15459,
3.66936,3.27468,-1.29069,
3.67775,3.27962,-1.42517,
3.68604,3.15978,-1.51956,
3.69445,3.18219,-1.65394,
3.7027,3.11391,-1.74839,
3.7111,3.0598,-1.7976,
3.71937,3.04235,-1.85163,
3.72776,2.99524,-1.91382,
3.73606,2.98868,-1.9558,
3.74447,2.97625,-2.00448,
3.75272,3.02887,-2.0372,
3.76106,3.01567,-2.0593,
3.76939,3.0631,-2.12082,
3.77777,3.06069,-2.14665,
3.78606,3.05668,-2.17437,
3.79445,3.1011,-2.20422,
3.80272,3.09233,-2.23073,
3.81111,3.11507,-2.26635,
3.81941,3.15952,-2.30646,
3.82777,3.18098,-2.35619,
3.83607,3.23555,-2.38874,
3.84441,3.31544,-2.45205,
3.85272,3.34098,-2.47755,
3.86109,3.40865,-2.50508,
3.86939,3.464,-2.52795,
3.87778,3.47593,-2.56552,
3.88608,3.56371,-2.60875,
3.89441,3.61145,-2.64765,
3.90272,3.66693,-2.68137,
3.91108,3.71087,-2.72337,
3.91939,3.78028,-2.77442,
